rootId:ID,root,transliteration,:LABEL,descriptionTr,descriptionEn,translationTr,translationEn
1,"سمو","smw","Root","yüce/yüksek olmak, yükseltilmiş, çatı, tavan; isim, sıfat, nitelik; semavat - yükseklikler/gökler/yağmur, yağmur bulutları. ism - Bir şeyin/nesnenin ayırt edici işareti <br><br><strong>Türkçe’ye girmiş türevler : </strong>sema, semavat, alaimsema, isim, bismillah (besmele), esami, esma, tesmiye (müsemma)","To be noble/high, elevated, roof, ceiling; name, adjective, quality; semavat - heights/skies/rain, rain clouds. ism - A distinguishing mark of a thing/object.","gök","names"
2,"رحم","rHm","Root","merhamet etmek, şefkat göstermek, severek ve acıyarak korumak. Yufka yürekli olmak, acımak, birinin üzüntüsüne ortak olmak. Acınacak durumda bulunan kimseye yönelik yufka yüreklilik ve şefkat. Lütufta bulunma.","To show mercy, to demonstrate compassion, to protect with love and pity. To be tender-hearted, to feel pity, to empathize with someone's sorrow. Kindness and compassion towards someone in a pitiable condition. To bestow favor.","Rahim","Mercy"
3,"حمد","Hmd","Root","Birini övmek veya yüceltmek veya takdir etmek, birisinden olumlu olarak bahsetmek, bir şeyi onaylamak, birine hakkını ödemek/vermek, övgüye değer veya takdire şayan olmak.","To praise or eulogize or commend someone, speak well of someone, mention someone with approbation, approve of a thing, recompense/pay someone his due, to be praiseworthy or commendable.","hamd","Praise"
4,"ربب","rbb","Root","Usta ve efendi olan, toparlayan, bir araya getiren, sahip olan/elinde tutan, kural, yükseltmek, yetiştirmek, korumak, şef, gardiyan, düzenleyen, belirleyen, bekçi, sağlayan, esirgeyen, koruyan, mükemmelleştiren, ödüllendiren, yaratan, sürdüren, özellikleri yeniden düzenleyen, geliştiren, büyümenin kural ve kanunlarını belirleyen, bir şeyi tamamlanma hedefine ulaşıncaya kadar birbirini takip eden en uygun koşullarlarla karşı karşıya getirerek teşvik eden, derece derece tamamlanmaya doğru götüren, kim ki bir şeye sahip olur onun rabbidir. <br><br><strong>Türkçe’ye girmiş türevler : </strong>erbap, rabbena, rabbi, terbiye, murabba, mürebbi, mürebbiye, rabbani, rabbi, rabbülalemin, yarabbi <br> <br>~ Aram rab, rabbā רַב/רַבָּא 1. büyük (sıfat), 2. ulu kişi, efendi < Aram #rb רב büyük olma, artma, büyüme = Akad rabū büyük","The root ""ر ب ب"" (R-B-B) in Arabic is fundamentally significant, embodying concepts of growth, development, and lordship. This triliteral root appears in various forms throughout the Arabic language, most notably in the Quran, and carries a wide range of meanings depending on the context in which it is used.
<br><br>
At its core, the root R-B-B conveys the idea of nurturing, sustaining, and developing something from one stage to another, ensuring its growth and maturity. It's often associated with care and guardianship, highlighting a process of progressive development.
<br><br>
In a religious context, this root is commonly associated with God, denoting His role as the Lord, Sustainer, and Cherisher of the Universe. The term ""رب"" (Rabb) is frequently used in the Quran to refer to God's sovereignty, mercy, and providential care over all creation. It emphasizes God's relationship with the creation as the ultimate nurturer and sustainer, guiding it through all stages of existence.
<br><br>
Moreover, the root R-B-B is not limited to divine lordship. It can also refer to human guardianship or stewardship over something, such as a person being responsible for the care and upbringing of a child, or oversight over property and affairs. In this sense, it underscores the notion of responsibility and authority exercised with care and wisdom.
<br><br>
The linguistic versatility of the root R-B-B allows it to be used in various derivative forms, including nouns, verbs, and adjectives, each reflecting nuances of care, growth, and lordship. For example, ""تربية"" (Tarbiyah) derives from the same root, meaning education or upbringing, emphasizing the developmental aspect of nurturing a person's physical, moral, and intellectual growth.
<br><br>
This root's appearance across different contexts in Arabic literature and the Quran showcases its depth and breadth, encapsulating a comprehensive view of care, growth, and sovereignty intertwined with the fabric of existence.","Rab","Lord"
5,"علم","Elm","Root","İşaretlemek / imzalamak / ayırt etmek, yaratılmışlar / varlıklar, dünya, bilim / öğrenme / bilgi / enformasyon, farkındalık / bilmek. Dünyanın ve yarattıklarının üzerindeki belirtilerden dolayı Yaratanı bilmek. <strong>alim (çoğul. ulema)</strong> - iyi bilen, öğrenen/bilge kimse. <br><br><strong>Türkçe’ye girmiş türevler : </strong>ilim, alem, âlem, âlemci, bezmiâlem, harcıâlem, alim (ulema), alimallah, allame, allem kallem, ilam, ilmihal, ilmühaber, malum, talim (muallim), muallime, ulum, ilmen, ilmi, ilmiyat, ilmiye, malumat, malumatfüruş, talimat, talimatname","","ilim","know"
6,"ملك","mlk","Root","to rule/command/reign, be capable, to control, power/authority, king, kingdom.","","mülk","Owner"
7,"يوم","ywm","Root","Gün, dönem, periyot, zaman, bugün, bu / şu gün, çağ/zaman periyodu, güneşin belli bir noktaya kadar yükseliş süreci, kaza veya olay.. <br><br><strong>Türkçe’ye girmiş türevler : </strong>yevm, eyyam, eyyamcı, yevmiye, yevmiyeci<br><br> Aram yūmā יומא = İbr yōm יום = Akad ūmu = gün","","gün","Day"
8,"دين","dyn","Root","obedience/submissiveness, servility, religion, high/elevated/noble/glorious rank/condition/state, took/receive a loan or borrowed upon credit, become indebted, in debt, under the obligation of a debt, contract a debt, repay/reimburse a loan, rule/govern/manage it, possess/own it, become habituated/accustomed to something, confirmation, death (because it is a debt everyone must pay), a particular law/statute, system, custom/habit/business, a way/course/manner of conduct/acting, repayment/compensation.","","din","the law"
9,"عبد","Ebd","Root","hizmet etmek, ibadet etmek, tapmak, bir şey etkisini kabul etmek, teslimiyetle veya tevazu ile itaat etmek, onaylamak, uygulamak, adamak, itaat etmek, köle, kontrol altına almak, bir araya getirmek, esir etmek","","kul","slave"
10,"عون","Ewn","Root","to be of middle age. yu'inu (vb. 4) - to aid/assist/help. ta'awana (vb. 4) - to help one another. ista'ana (vb. 10) - to implore for help, seek aid, turn and call for assistance. musta'an - one whose help is to be implored.","","orta yaşlı","Seek help"
